Year,State,Award Amount
2006,WY,240137
2005,AK,2634199
2005,AL,12095259
2005,AR,2853649
2005,AZ,28592468
2005,CA,200341752
2005,CO,12364223
2005,CT,18862244
2005,DC,15034436
2005,DE,4486962
2005,FL,58053746
2005,GA,21970801
2005,GU,682563
2005,HI,5951066
2005,IA,6855726
2005,ID,2804041
2005,IL,67445061
2005,IN,15410942
2005,KS,5381461
2005,KY,11720250
2005,LA,22148086
2005,MA,49006274
2005,MD,33464732
2005,ME,8029580
2005,MI,47779576
2005,MN,19019722
2005,MO,17787032
2005,MS,2929251
2005,MT,2017402
2005,NC,13139239
2005,ND,1092220
2005,NE,4710708
2005,NH,4672768
2005,NJ,31080076
2005,NM,7054414
2005,NV,7347976
2005,NY,127500090
2005,OH,57947189
2005,OK,2894127
2005,OR,11461818
2005,PA,53622457
2005,PR,11816584
2005,RI,2862533
2005,SC,7124969
2005,SD,1105662
2005,TN,13677951
2005,TX,50592601
2005,UT,5431184
2005,VA,18271450
2005,VI,185704
2005,VT,1903775
2005,WA,31678218
2005,WI,12933567
2005,WV,4141094
2005,WY,61016
